cal_date,cal_mon,cal_mon_name,cal_day,cal_year,weekday,weekday_name,fiscal_year,qtr_num,qtr_name
01-01-2013,1,Jan,1,2013,4,Tue,FY13,1,Q1
02-01-2013,1,Jan,2,2013,5,Wed,FY13,1,Q1
03-01-2013,1,Jan,3,2013,6,Thu,FY13,1,Q1
04-01-2013,1,Jan,4,2013,7,Fri,FY13,1,Q1
05-01-2013,1,Jan,5,2013,1,Sat,FY13,1,Q1
06-01-2013,1,Jan,6,2013,2,Sun,FY13,1,Q1
07-01-2013,1,Jan,7,2013,3,Mon,FY13,1,Q1
08-01-2013,1,Jan,8,2013,4,Tue,FY13,1,Q1
09-01-2013,1,Jan,9,2013,5,Wed,FY13,1,Q1
10-01-2013,1,Jan,10,2013,6,Thu,FY13,1,Q1
11-01-2013,1,Jan,11,2013,7,Fri,FY13,1,Q1
12-01-2013,1,Jan,12,2013,1,Sat,FY13,1,Q1
13-01-2013,1,Jan,13,2013,2,Sun,FY13,1,Q1
14-01-2013,1,Jan,14,2013,3,Mon,FY13,1,Q1
15-01-2013,1,Jan,15,2013,4,Tue,FY13,1,Q1
16-01-2013,1,Jan,16,2013,5,Wed,FY13,1,Q1
17-01-2013,1,Jan,17,2013,6,Thu,FY13,1,Q1
18-01-2013,1,Jan,18,2013,7,Fri,FY13,1,Q1
19-01-2013,1,Jan,19,2013,1,Sat,FY13,1,Q1
20-01-2013,1,Jan,20,2013,2,Sun,FY13,1,Q1
21-01-2013,1,Jan,21,2013,3,Mon,FY13,1,Q1
22-01-2013,1,Jan,22,2013,4,Tue,FY13,1,Q1
23-01-2013,1,Jan,23,2013,5,Wed,FY13,1,Q1
24-01-2013,1,Jan,24,2013,6,Thu,FY13,1,Q1
25-01-2013,1,Jan,25,2013,7,Fri,FY13,1,Q1
26-01-2013,1,Jan,26,2013,1,Sat,FY13,1,Q1
27-01-2013,1,Jan,27,2013,2,Sun,FY13,1,Q1
28-01-2013,1,Jan,28,2013,3,Mon,FY13,1,Q1
29-01-2013,1,Jan,29,2013,4,Tue,FY13,1,Q1
30-01-2013,1,Jan,30,2013,5,Wed,FY13,1,Q1
31-01-2013,1,Jan,31,2013,6,Thu,FY13,1,Q1
01-02-2013,2,Feb,1,2013,7,Fri,FY13,1,Q1
02-02-2013,2,Feb,2,2013,1,Sat,FY13,1,Q1
03-02-2013,2,Feb,3,2013,2,Sun,FY13,1,Q1
04-02-2013,2,Feb,4,2013,3,Mon,FY13,1,Q1
05-02-2013,2,Feb,5,2013,4,Tue,FY13,1,Q1
06-02-2013,2,Feb,6,2013,5,Wed,FY13,1,Q1
07-02-2013,2,Feb,7,2013,6,Thu,FY13,1,Q1
08-02-2013,2,Feb,8,2013,7,Fri,FY13,1,Q1
09-02-2013,2,Feb,9,2013,1,Sat,FY13,1,Q1
10-02-2013,2,Feb,10,2013,2,Sun,FY13,1,Q1
11-02-2013,2,Feb,11,2013,3,Mon,FY13,1,Q1
12-02-2013,2,Feb,12,2013,4,Tue,FY13,1,Q1
13-02-2013,2,Feb,13,2013,5,Wed,FY13,1,Q1
14-02-2013,2,Feb,14,2013,6,Thu,FY13,1,Q1
15-02-2013,2,Feb,15,2013,7,Fri,FY13,1,Q1
16-02-2013,2,Feb,16,2013,1,Sat,FY13,1,Q1
17-02-2013,2,Feb,17,2013,2,Sun,FY13,1,Q1
18-02-2013,2,Feb,18,2013,3,Mon,FY13,1,Q1
19-02-2013,2,Feb,19,2013,4,Tue,FY13,1,Q1
20-02-2013,2,Feb,20,2013,5,Wed,FY13,1,Q1
21-02-2013,2,Feb,21,2013,6,Thu,FY13,1,Q1
22-02-2013,2,Feb,22,2013,7,Fri,FY13,1,Q1
23-02-2013,2,Feb,23,2013,1,Sat,FY13,1,Q1
