platform,order_placed_dt,order_num,customer_id,quantity,gross_sales_amount,discount,tax_amount,return_ind
Phone,1/3/14,CA-2014-103800,DP-13000,2,16.45,0.2,0.81,0
Desktop,1/4/2014,CA-2014-112326,PO-19195,8,288.06,1.2,14.34,0
Tablet,1/5/2014,CA-2014-141817,MB-18085,3,19.54,0.2,0.97,0
Desktop,1/6/2014,CA-2014-106054,JO-15145,3,12.78,0,0.64,0
Desktop,1/6/2014,CA-2014-130813,LS-17230,3,19.44,0,0.97,0
Desktop,1/6/2014,CA-2014-167199,ME-17320,24,4374.88,0,218.74,0
Desktop,1/7/2014,CA-2014-105417,VS-21820,10,87.16,1.4,4.29,0
Desktop,1/9/2014,CA-2014-135405,MS-17830,5,40.54,0.4,2.01,0
Phone,1/10/2014,CA-2014-149020,AJ-10780,2,54.83,0,2.74,0
Phone,1/11/2014,CA-2014-130092,SV-20365,2,9.94,0,0.5,0
Desktop,1/13/2014,CA-2014-109232,ND-18370,6,545.94,0,27.3,0
Phone,1/13/2014,CA-2014-118192,MM-17920,9,40.85,0.9,2,0
Desktop,1/13/2014,CA-2014-157147,BD-11605,13,1679.75,0.15,83.98,0
Desktop,1/13/2014,CA-2014-162775,CS-12250,20,1287.26,0,64.36,0
Desktop,1/13/2014,CA-2014-149524,BS-11590,4,61.96,0.5,3.07,0
Desktop,1/13/2014,CA-2014-103366,EH-13990,5,149.95,0,7.5,0
Phone,1/13/2014,CA-2014-115791,DL-13315,14,299.96,1.5,14.92,0
Tablet,1/13/2014,CA-2014-123477,DW-13195,4,64.86,0.2,3.23,0
Phone,1/13/2014,CA-2014-146591,TS-21340,24,378.59,1.8,18.84,0
Phone,1/13/2014,CA-2014-148614,MV-17485,4,38.66,0,1.93,1
Tablet,1/13/2014,CA-2014-167927,XP-21865,26,708.62,0.1,35.43,0
Phone,1/13/2014,US-2014-147627,HL-15040,27,1859.4,0,92.97,0
Phone,1/13/2014,US-2014-147774,MM-18280,1,67.19,0.7,3.32,0
Phone,1/13/2014,CA-2014-110422,TB-21400,3,25.25,0.2,1.25,0
Phone,1/13/2014,CA-2014-102645,IM-15055,6,40.08,0,2,0
Phone,1/13/2014,CA-2014-146997,SG-20605,3,5.94,0,0.3,0
Phone,1/13/2014,CA-2014-167997,CA-11965,4,152.64,0,7.63,0
Phone,1/13/2014,US-2014-155502,SD-20485,34,944.61,0,47.23,0
Phone,1/13/2014,US-2014-117163,EJ-13720,8,426.67,0.2,21.32,0
Phone,1/13/2014,CA-2014-100328,JC-15340,1,3.93,0.2,0.19,0
Phone,1/13/2014,CA-2014-134103,MV-18190,4,240.5,0,12.03,0
Phone,1/13/2014,CA-2014-115161,LC-17050,2,290.67,0.15,14.53,0
Phone,2/1/2014,CA-2014-140795,BD-11500,6,468.9,0,23.45,0
Desktop,2/2/2014,CA-2014-123400,EB-13930,7,199.3,0.9,9.92,0
Phone,2/2/2014,CA-2014-139857,CD-12790,5,12.35,0,0.62,0
Phone,2/3/2014,CA-2014-111059,TB-21400,5,97.11,0.4,4.84,0
Desktop,2/4/2014,CA-2014-104808,MH-17440,2,17.25,0.2,0.85,0
Desktop,2/4/2014,CA-2014-107181,DB-13270,7,117.14,0.2,5.85,0
Phone,2/6/2014,CA-2014-108182,DL-13315,2,8.95,0.8,0.41,0
Phone,2/6/2014,CA-2014-131905,ND-18460,10,321.56,0,16.08,0
Desktop,2/7/2014,CA-2014-107755,CK-12760,7,115.36,0,5.77,0
Phone,2/7/2014,US-2014-169390,CS-12250,4,64.96,0,3.25,0
Phone,2/8/2014,CA-2014-125759,NM-18445,2,14.56,0,0.73,0
Phone,2/11/2014,CA-2014-127614,NF-18385,11,1508.13,0,75.41,0
Desktop,2/11/2014,CA-2014-168368,GA-14725,14,535.27,0,26.76,0
Phone,2/12/2014,US-2014-110674,SC-20095,2,129.57,0.2,6.47,0
Phone,2/14/2014,CA-2014-107706,ST-20530,3,16.18,0.2,0.8,0
Desktop,2/14/2014,CA-2014-121762,ML-17395,7,560.55,0,28.03,0
Phone,2/14/2014,CA-2014-165568,BF-11020,5,21.36,0.2,1.06,0
Phone,2/14/2014,CA-2014-122567,MN-17935,5,9.04,1.6,0.37,0
Phone,2/14/2014,CA-2014-154165,DL-13315,14,54.21,0.2,2.7,0
Desktop,2/14/2014,CA-2014-152905,AB-10015,2,12.62,0.2,0.62,0
Desktop,2/14/2014,US-2014-165589,TB-21595,5,25.16,0.6,1.23,0
Tablet,2/14/2014,CA-2014-109491,LC-16930,7,82.63,0,4.13,0
Phone,2/14/2014,CA-2014-164903,SR-20740,2,12.96,0,0.65,0
Desktop,2/14/2014,CA-2014-165540,TM-21010,5,8.85,0.8,0.4,0
Desktop,2/14/2014,CA-2014-133354,SA-20830,3,19.44,0,0.97,0
Desktop,2/14/2014,CA-2014-103744,MG-17875,6,11.36,1,0.52,1
Desktop,2/14/2014,US-2014-137680,JH-15430,7,55.67,0.4,2.76,0
Phone,2/14/2014,CA-2014-156545,JS-16030,4,19.46,0.2,0.96,0
Desktop,2/14/2014,CA-2014-104269,DB-13060,2,457.57,0.2,22.87,0
Phone,2/14/2014,CA-2014-113880,VF-21715,9,651.59,0.5,32.55,0
Phone,2/14/2014,CA-2014-131009,SC-20380,20,574.19,1.3,28.64,0
Phone,2/14/2014,CA-2014-168312,GW-14605,6,513.86,0.5,25.67,0
Desktop,2/14/2014,US-2014-143707,HR-14770,3,5.94,0,0.3,0
Desktop,2/14/2014,CA-2014-107524,KN-16705,7,47.76,0,2.39,0
Phone,2/14/2014,CA-2014-111157,NH-18610,4,154.62,0.4,7.71,0
Desktop,2/14/2014,CA-2014-105648,EJ-14155,3,626.35,0.2,31.31,0
Phone,2/14/2014,CA-2014-127964,AP-10720,9,161.07,0.4,8.03,0
Desktop,2/14/2014,CA-2014-130421,SC-20020,3,176.77,0.8,8.8,0
Desktop,2/14/2014,CA-2014-155852,AJ-10945,4,19.46,0.2,0.96,0
Desktop,2/14/2014,US-2014-127978,JS-15595,16,362.24,0.9,18.07,0
Desktop,2/14/2014,CA-2014-116239,CL-12565,5,354.9,0,17.75,0
Phone,2/14/2014,CA-2014-117016,SC-20095,3,15.55,0.2,0.77,0
Tablet,2/14/2014,CA-2014-169061,AB-10150,16,705.56,0.2,35.27,0
Desktop,2/14/2014,CA-2014-104563,CM-12715,18,1143.82,0.4,57.17,0
Desktop,2/14/2014,CA-2014-156587,AB-10015,7,309.59,0.2,15.47,0
Phone,2/14/2014,US-2014-131982,NP-18685,2,107.65,0.2,5.37,0
Desktop,2/14/2014,US-2014-100279,SW-20275,2,22.38,0,1.12,0
Phone,2/14/2014,US-2014-140116,KT-16480,7,719.58,0.4,35.96,0
Phone,2/14/2014,CA-2014-114790,FM-14215,11,782.63,0,39.13,0
Phone,2/14/2014,CA-2014-158337,KA-16525,14,108.92,0,5.45,0
Phone,2/14/2014,CA-2014-166884,CK-12205,11,18.78,0.4,0.92,0
Phone,2/14/2014,US-2014-103338,RB-19435,3,7.98,0,0.4,0
Desktop,2/14/2014,CA-2014-100293,NF-18475,6,91.06,0.2,4.54,0
Desktop,2/14/2014,CA-2014-114510,JF-15295,21,280.28,0.4,13.99,0
Phone,2/14/2014,CA-2014-152618,RB-19465,4,583.36,0.5,29.14,0
Tablet,2/14/2014,CA-2014-157623,DK-13225,3,13.94,0,0.7,0
Phone,2/14/2014,US-2014-125521,CK-12325,4,1139.92,0,57,0
Phone,2/14/2014,CA-2014-149958,AS-10240,14,370.78,2,18.44,0
Desktop,2/14/2014,CA-2014-157609,KN-16705,2,471.92,0.2,23.59,0
Phone,2/14/2014,CA-2014-118339,BN-11515,31,249.92,0,12.5,0
Phone,2/14/2014,CA-2014-127859,QJ-19255,6,126.62,0.2,6.32,0
Desktop,2/14/2014,CA-2014-158442,AZ-10750,6,25.18,0.6,1.23,0
Desktop,2/14/2014,US-2014-148838,CP-12340,25,3455.13,1.2,172.7,0
Desktop,2/14/2014,US-2014-164763,MH-17440,14,103.5,0,5.18,1
Desktop,2/14/2014,CA-2014-111871,EK-13795,10,1198.33,0.15,59.91,1
Phone,2/14/2014,CA-2014-145317,SM-20320,25,23661.23,2,1182.96,0
Desktop,2/14/2014,US-2014-131275,SC-20050,13,3247.16,0.2,162.35,0
Phone,2/14/2014,CA-2014-103989,MC-17605,23,590.76,1.9,29.44,0
Desktop,2/14/2014,CA-2014-140004,CB-12025,5,13.46,0.4,0.65,0
Desktop,2/14/2014,CA-2014-163223,KH-16690,22,3769.56,0,188.48,0
Desktop,2/14/2014,US-2014-107405,TS-21205,1,16.27,0.2,0.8,0
Phone,2/14/2014,US-2014-155544,GM-14440,11,310.53,0.6,15.5,0
Phone,2/14/2014,CA-2014-148040,BF-11275,6,388.7,0.4,19.42,0
Phone,2/14/2014,US-2014-129609,VM-21835,2,16.28,0,0.81,0
Tablet,2/14/2014,US-2014-158057,CC-12685,9,59.11,1.4,2.89,0
Desktop,2/14/2014,CA-2014-120838,PO-18865,8,935.15,0.2,46.75,0
Phone,2/14/2014,CA-2014-164749,BG-11740,3,9.91,0.2,0.49,0
Phone,2/14/2014,CA-2014-143637,MS-17710,2,40.48,0,2.02,0
Phone,2/14/2014,CA-2014-147235,CD-11920,5,24.9,0,1.25,0
Phone,2/14/2014,CA-2014-128237,CA-12265,14,92.36,0,4.62,0
Phone,2/14/2014,CA-2014-148586,AZ-10750,7,366.79,0.1,18.33,0
Phone,2/14/2014,CA-2014-100860,CS-12505,5,18.75,0,0.94,0
Phone,2/14/2014,CA-2014-138436,JD-15895,3,66.3,0,3.32,0
Desktop,2/14/2014,CA-2014-141838,DK-12835,8,60.08,0.4,2.98,0
Desktop,2/14/2014,CA-2014-100881,DR-12940,3,302.38,0.2,15.11,0
Phone,2/14/2014,US-2014-117380,MP-18175,1,330.59,0.4,16.51,0
Phone,2/14/2014,US-2014-137869,CV-12295,7,1190.84,0,59.54,0
Phone,2/14/2014,CA-2014-137274,MG-18145,3,890.84,0.3,44.53,0
Desktop,2/14/2014,CA-2014-131247,GA-14725,2,205.67,0.15,10.28,0
Desktop,2/14/2014,CA-2014-133424,Dl-13600,6,60.24,0,3.01,0
Desktop,2/14/2014,CA-2014-162089,MP-17470,19,714.97,0.7,35.71,0
Phone,2/14/2014,CA-2014-169033,KM-16720,5,49.65,0,2.48,0
Desktop,2/14/2014,US-2014-105151,SG-20890,5,10.5,0,0.53,0
Phone,2/14/2014,US-2014-113124,NC-18340,2,129.3,0,6.47,0
Tablet,2/14/2014,CA-2014-101770,KB-16240,1,1.87,0.7,0.06,0
Phone,2/14/2014,CA-2014-112403,JO-15280,1,0.85,0.7,0.01,0
Phone,2/14/2014,CA-2014-128055,AA-10315,4,726.55,0.2,36.32,0
Phone,2/14/2014,CA-2014-130428,TG-21640,14,1142.17,1.1,57.05,0
Phone,2/14/2014,US-2014-104759,DD-13570,9,88.12,1,4.36,0
Phone,2/14/2014,CA-2014-138359,KH-16330,6,73.2,0,3.66,0
Phone,2/14/2014,US-2014-157021,KM-16720,6,46.69,0.2,2.32,0
Desktop,2/14/2014,CA-2014-160276,AH-10690,2,177.68,0,8.88,0
Desktop,2/14/2014,CA-2014-164315,RD-19585,15,1220.67,0,61.03,0
Phone,2/14/2014,US-2014-157847,SC-20020,12,60.21,0.4,2.99,0
