platform,order_placed_dt,order_num,quantity,item_id,item_price,return_ind
Tablet,"August 11, 2016",CA-2016-152156,2,FUR-BO-10001798,130.98,0
Tablet,"August 11, 2016",CA-2016-152156,3,FUR-CH-10000454,243.98,0
Phone,"December 6, 2016",CA-2016-138688,2,OFF-LA-10000240,7.31,0
Desktop,"November 10, 2015",US-2015-108966,5,FUR-TA-10000577,191.5155,0
Desktop,"November 10, 2015",US-2015-108966,2,OFF-ST-10000760,11.184,0
Tablet,"September 6, 2014",CA-2014-115812,7,FUR-FU-10001487,6.98,0
Tablet,"September 6, 2014",CA-2014-115812,4,OFF-AR-10002833,1.82,0
Tablet,"September 6, 2014",CA-2014-115812,6,TEC-PH-10002275,151.192,0
Tablet,"September 6, 2014",CA-2014-115812,3,OFF-BI-10003910,6.168,0
Tablet,"September 6, 2014",CA-2014-115812,5,OFF-AP-10002892,22.98,0
Tablet,"September 6, 2014",CA-2014-115812,9,FUR-TA-10001539,189.576,0
Tablet,"September 6, 2014",CA-2014-115812,4,TEC-PH-10002033,227.856,0
Phone,15-04-2017,CA-2017-114412,3,OFF-PA-10002365,5.184,0
Desktop,"May 12, 2016",CA-2016-161389,3,OFF-BI-10003656,135.992,0
Desktop,22-11-2015,US-2015-118983,5,OFF-AP-10002311,13.762,0
Desktop,22-11-2015,US-2015-118983,3,OFF-BI-10000756,0.848,0
Tablet,"November 11, 2014",CA-2014-105893,6,OFF-ST-10004186,110.98,0
Phone,13-05-2014,CA-2014-167164,2,OFF-ST-10000107,27.75,0
Desktop,27-08-2014,CA-2014-143336,2,OFF-AR-10003056,4.28,1
Desktop,27-08-2014,CA-2014-143336,3,TEC-PH-10001949,71.16,1
Desktop,27-08-2014,CA-2014-143336,4,OFF-BI-10002215,5.68,0
Phone,"September 12, 2016",CA-2016-137330,7,OFF-AR-10000246,2.78,0
Phone,"September 12, 2016",CA-2016-137330,7,OFF-AP-10001492,8.62,0
Desktop,16-07-2017,US-2017-156909,2,FUR-CH-10002774,35.686,0
Phone,25-09-2015,CA-2015-106320,3,FUR-TA-10000577,348.21,0
Tablet,16-01-2016,CA-2016-121755,2,OFF-BI-10001634,5.824,0
Tablet,16-01-2016,CA-2016-121755,3,TEC-AC-10003027,30.19,0
Desktop,17-09-2015,US-2015-150630,7,FUR-BO-10004834,440.49,0
Desktop,17-09-2015,US-2015-150630,2,OFF-BI-10000474,4.809,0
Desktop,17-09-2015,US-2015-150630,3,FUR-FU-10004848,41.4,0
Desktop,17-09-2015,US-2015-150630,2,OFF-EN-10001509,1.632,0
Desktop,17-09-2015,US-2015-150630,6,OFF-AR-10004042,14.384,0
Desktop,17-09-2015,US-2015-150630,6,OFF-BI-10001525,1.143,0
Desktop,17-09-2015,US-2015-150630,2,OFF-AR-10001683,7.88,0
Desktop,19-10-2017,CA-2017-107727,3,OFF-PA-10000249,9.824,0
Tablet,"August 12, 2016",CA-2016-117590,7,TEC-PH-10004977,156.792,0
Tablet,"August 12, 2016",CA-2016-117590,5,FUR-FU-10003664,38.184,0
Phone,27-12-2015,CA-2015-117415,9,OFF-EN-10002986,12.592,0
Phone,27-12-2015,CA-2015-117415,3,FUR-BO-10002545,177.4664,0
Phone,27-12-2015,CA-2015-117415,3,FUR-CH-10004218,70.686,0
Phone,27-12-2015,CA-2015-117415,4,TEC-PH-10000486,92.792,0
Phone,"October 9, 2017",CA-2017-120999,4,TEC-PH-10004093,36.792,0
Phone,17-07-2016,CA-2016-101343,2,OFF-ST-10003479,38.94,0
Phone,19-09-2017,CA-2017-139619,2,OFF-ST-10003282,47.808,0
Desktop,"November 3, 2016",CA-2016-118255,2,TEC-AC-10000171,22.99,0
Desktop,"November 3, 2016",CA-2016-118255,2,OFF-BI-10003291,8.73,0
Desktop,20-10-2014,CA-2014-146703,4,OFF-ST-10001713,52.99,0
Phone,20-06-2016,CA-2016-169194,3,TEC-AC-10002167,15,0
Phone,20-06-2016,CA-2016-169194,2,TEC-PH-10003988,10.9,0
Desktop,18-04-2015,CA-2015-115742,6,OFF-BI-10004410,6.37,0
Desktop,18-04-2015,CA-2015-115742,6,OFF-LA-10002762,12.53,0
Desktop,18-04-2015,CA-2015-115742,2,FUR-FU-10001706,3.08,0
Desktop,18-04-2015,CA-2015-115742,1,FUR-CH-10003061,89.99,0
Phone,"November 12, 2016",CA-2016-105816,7,OFF-FA-10000304,2.18,0
Phone,"November 12, 2016",CA-2016-105816,5,TEC-PH-10002447,205.99,0
Desktop,17-06-2016,CA-2016-111682,6,OFF-ST-10000604,34.76,1
Desktop,17-06-2016,CA-2016-111682,5,OFF-PA-10001569,6.48,1
Desktop,17-06-2016,CA-2016-111682,5,FUR-CH-10003968,63.882,1
Desktop,17-06-2016,CA-2016-111682,2,OFF-PA-10000587,7.28,0
Desktop,17-06-2016,CA-2016-111682,2,TEC-AC-10002167,15,0
Desktop,17-06-2016,CA-2016-111682,4,OFF-BI-10001460,12.12,1
Desktop,17-06-2016,CA-2016-111682,1,OFF-AR-10001868,1.68,1
Desktop,24-11-2015,CA-2015-135545,2,TEC-AC-10004633,6.99,0
Desktop,24-11-2015,CA-2015-135545,6,OFF-BI-10001078,4.304,0
Desktop,24-11-2015,CA-2015-135545,3,OFF-PA-10003892,48.91,0
Desktop,24-11-2015,CA-2015-135545,4,FUR-FU-10000397,19.94,0
Desktop,30-04-2015,US-2015-164175,5,FUR-CH-10001146,42.623,0
Phone,"May 12, 2014",CA-2014-106376,8,OFF-AR-10002671,139.128,0
Phone,"May 12, 2014",CA-2014-106376,4,TEC-PH-10002726,41.992,0
Tablet,"April 6, 2016",CA-2016-119823,2,OFF-PA-10000482,37.94,0
Desktop,18-09-2016,CA-2016-106075,1,OFF-BI-10004654,4.616,0
Desktop,14-09-2017,CA-2017-114440,3,OFF-PA-10004675,6.35,0
Phone,26-04-2015,US-2015-134026,8,FUR-CH-10000513,103.992,0
Phone,26-04-2015,US-2015-134026,2,FUR-FU-10003708,48.52,0
Phone,26-04-2015,US-2015-134026,1,OFF-ST-10004123,72.784,0
Desktop,"September 12, 2017",US-2017-118038,3,OFF-BI-10004182,0.416,0
Desktop,"September 12, 2017",US-2017-118038,3,FUR-FU-10000260,3.236,0
Desktop,"September 12, 2017",US-2017-118038,3,OFF-ST-10000615,9.08,0
Desktop,26-11-2014,US-2014-147606,5,FUR-FU-10003194,3.86,0
Phone,"December 6, 2016",CA-2016-127208,1,OFF-AP-10002118,208.16,0
Phone,"December 6, 2016",CA-2016-127208,3,OFF-BI-10002309,5.58,0
Phone,"December 10, 2014",CA-2014-139451,5,OFF-AR-10002053,2.98,0
Phone,"December 10, 2014",CA-2014-139451,1,OFF-ST-10002370,21.39,0
Tablet,"March 9, 2015",CA-2015-149734,7,OFF-EN-10000927,28.712,0
Phone,13-11-2017,US-2017-119662,3,OFF-ST-10003656,76.792,0
Desktop,28-05-2017,CA-2017-140088,2,FUR-CH-10000863,150.98,0
Phone,26-10-2017,CA-2017-155558,1,TEC-AC-10001998,19.99,0
Phone,26-10-2017,CA-2017-155558,2,OFF-LA-10000134,3.08,0
Phone,"May 4, 2016",CA-2016-159695,7,OFF-ST-10003442,22.624,0
Tablet,17-09-2016,CA-2016-109806,3,OFF-AR-10004930,6.7,1
Tablet,17-09-2016,CA-2016-109806,2,TEC-PH-10004093,36.792,1
Tablet,17-09-2016,CA-2016-109806,1,OFF-PA-10000304,6.48,1
Desktop,31-01-2015,CA-2015-149587,2,OFF-PA-10003177,6.48,0
Desktop,31-01-2015,CA-2015-149587,3,FUR-FU-10003799,17.78,0
Desktop,31-01-2015,CA-2015-149587,2,OFF-BI-10002852,16.48,0
Desktop,"June 11, 2017",US-2017-109484,1,OFF-BI-10004738,5.682,0
Desktop,"September 11, 2017",CA-2017-161018,7,FUR-FU-10000629,13.79,0
Phone,17-06-2017,CA-2017-157833,3,OFF-BI-10001721,17.104,0
Phone,"June 9, 2016",CA-2016-149223,6,OFF-AP-10000358,12.98,0
